,Margin,Average Choice,Most Common Choice,StudyNumber
Subj_401,-2260,2.66,2,6
Subj_402,250,2.78,4,6
Subj_403,-910,2.71,3,6
Subj_404,-425,2.72,4,6
Subj_405,-995,2.79,4,6
Subj_406,895,3.17,4,6
Subj_407,-1140,2.92,4,6
Subj_408,-1540,2.62,2,6
Subj_409,-1735,2.74,4,6
Subj_410,-1295,2.6,2,6
Subj_411,-600,2.82,4,6
Subj_412,885,2.9,4,6
Subj_413,-1570,2.91,4,6
Subj_414,360,2.67,3,6
Subj_415,-1530,2.55,2,6
Subj_416,-200,2.86,4,6
Subj_417,1880,3.31,4,6
Subj_418,-600,2.62,3,6
Subj_419,-3225,2.4,2,6
Subj_420,-1850,2.49,2,6
Subj_421,270,3.02,4,6
Subj_422,2005,3.22,4,6
Subj_423,-505,2.85,4,6
Subj_424,-1220,2.57,3,6
Subj_425,-525,2.68,4,6
Subj_426,-2135,2.48,2,6
Subj_427,-1350,2.61,4,6
Subj_428,490,2.73,3,6
Subj_429,-1415,2.69,2,6
Subj_430,-535,2.87,4,6
Subj_431,290,2.72,3,6
Subj_432,-850,2.33,2,6
Subj_433,-850,2.33,2,6
Subj_434,-990,2.43,2,6
Subj_435,-4050,2.03,2,6
Subj_436,-1345,2.76,2,6
Subj_437,-145,3.21,4,6
Subj_438,-560,2.61,2,6
Subj_439,-1425,2.9,4,6
Subj_440,-2260,2.51,2,6
Subj_441,-2065,2.47,2,6
Subj_442,-735,3.04,4,6
Subj_443,-2125,2.73,4,6
Subj_444,-1550,2.81,4,6
Subj_445,-130,2.75,3,6
Subj_446,-1775,2.35,2,6
Subj_447,-900,2.45,2,6
Subj_448,-1570,2.56,2,6
Subj_449,1045,3.28,4,6
Subj_450,-1420,2.56,4,6
Subj_451,-595,2.72,4,6
Subj_452,-470,2.51,2,6
Subj_453,2360,2.99,3,6
Subj_454,-565,2.66,4,6
Subj_455,-1510,2.73,4,6
Subj_456,-2475,2.61,2,6
Subj_457,-1860,2.49,2,6
Subj_458,-2330,2.27,2,6
Subj_459,2480,3.33,4,6
Subj_460,-3290,2.29,2,6
Subj_461,-3290,2.29,2,6
